 NO2        OH                                          HNO3                                                    3.000e-30 -3.000e+00  0.000e+00  2.000e+00  1.000e+02  4.982e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02  4.000e-01  1.000e-30  1.000e+30  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 NH2        NH2                                         N2H4                                                    1.110e-27 -5.490e+00  9.999e+02  2.000e+00  1.000e+02  8.768e-11 -4.140e-01  3.321e+01  2.000e+00  1.000e+02  3.100e-01  1.000e-30  1.000e+30  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 CH3        NO                                          CH3NO                                                   6.893e-32  0.000e+00 -1.430e+03  2.000e+00  1.000e+02  1.494e-11  0.000e+00  9.662e+01  2.000e+00  1.000e+02  5.000e+00  1.000e-30  1.200e+02  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 CH3O       NO                                          CH3NO2                                                  2.601e-29 -2.800e+00  0.000e+00  2.000e+00  1.000e+02  3.252e-11 -6.000e-01  0.000e+00  2.000e+00  1.000e+02  1.000e+00  1.000e-30  9.000e+02  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 C2H5O      NO                                          CH3CH2ONO                                               2.600e-28  0.000e+00  0.000e+00  2.000e+00  1.000e+02  1.993e-11  0.000e+00 -7.196e+01  2.000e+00  1.000e+02  6.000e-01  1.000e-30  1.000e+30  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 CH3O       NO2                                         CH3ONO2                                                 3.930e-29 -1.740e+00  0.000e+00  2.000e+00  1.000e+02  2.414e-11 -8.800e-01  0.000e+00  2.000e+00  1.000e+02  6.000e-01  1.000e-30  1.000e+30  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 C2H5O      NO2                                         CH3CH2ONO2                                              2.002e-27 -4.000e+00  0.000e+00  2.000e+00  1.000e+02  2.823e-11 -1.000e+00  0.000e+00  2.000e+00  1.000e+02  6.000e-01  1.000e-30  1.000e+30  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 C2H5       NH2                                         CH3CH2NH2                                               1.762e-27 -3.850e+00  0.000e+00  2.000e+00  1.000e+02  1.312e-10  4.200e-01  0.000e+00  2.000e+00  1.000e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 CH2CHNH2   H                                           CH3CHNH2                                                1.943e-25 -6.642e+00  2.903e+03  2.000e+00  1.000e+02  9.782e-12  1.463e+00  6.819e+02  2.000e+00  1.000e+02 -5.690e-01  2.990e+02  9.147e+03  1.524e+02  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 CHCHNH2    H                                           CH2CHNH2                                                3.487e-27 -1.300e+00  0.000e+00  2.000e+00  1.000e+02  2.026e-10  2.000e-01  0.000e+00  2.000e+00  1.000e+02  5.000e-01  1.000e-30  1.000e+30  1.000e+30  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
