Reactions included in the STAND2020 chemical network,
compiled from Sources (A) and (B).

Source (A):
================================================================================
Title: A Chemical Kinetics Network for Lightning 
       and Life in Planetary Atmospheres 
Authors: Rimmer P.B., Helling C. 
Table: Stand2015 Chemical Kinetics Network
--------------------------------------------------------------------------------

Source (B):
================================================================================
Title: Hydroxide salts in the clouds of Venus: their effect on the 
       sulfur cycle and cloud droplet
Authors: Rimmer P.B., Jordan S., Constantinou T., Woitke P., Shorttle O., 
         Hobbs R., Paschodimas A. 
Table: Reactions Added and Updated for STAND2020
--------------------------------------------------------------------------------

================================================================================
Byte-by-byte Description of file
--------------------------------------------------------------------------------
   Bytes Format Units   Label     Explanations
--------------------------------------------------------------------------------
   1- 51 A38    ---     Reaction  Reaction
  52- 59 E8.2   ---     alpha     The {alpha} value
  61- 65 A5     ---   u_alpha     alpha units
  67- 72 F5.2   ---     beta      The {beta} value
  74- 81 F7.1   K       Ea        Ea (1)
  83- 86 A21    ---     Ref       Reference (2)
  87- 89 A3     ---     Flag      Flag (3)
--------------------------------------------------------------------------------

Note (1): Rate-constants --
    Rate constants for two-body reactions are calculated from alpha, beta, and 
    gamma according to the Kooij equation, with temperature normalised by 300K 
    in the beta term (consult Source (A): Section 2.1 on how the reaction 
    barrier is calculated). 

    Rate constants for reactions involving a third body follow the Lindemann 
    form. The reaction is first listed in the the network with alpha, beta, and 
    gamma values that correspond to the rate-constant in the low-pressure limit. 
    The reaction is then repeated with alpha, beta, and gamma values that 
    correspond to the rate-constant in the high-pressure limit (consult Source(A): 
    Section 2.2 on how the reaction barrier is calculated).

    * = Consult Source (A): Section 2.3 on how the reaction barrier is calculated.

Note (2): References --
   180 =  Lambert et al. (1968);
   181 =  Fairbairn (1969);
   182 =  Murrell and Rodriguez (1986);
   183 =  Frank (1986);
   184 =  Zhu and Lin (2007);
   185 =  Korovkina (1976);
   186 =  Harding and Wagner (1989);
   187 =  Karkach and Osherov(1999);
   188 =  Meagher and Anderson (2000);
   189 =  Cvetanovic (1987);
   190 =  Hack et al. (2005);
   191 =  Dean and Kistiakowsky (1971);
   192 =  Harding et al. (2005);
   193 =  Corchado et al. (1998);
   194 =  Cobos and Troe (1985);
   195 =  Sridharan and Kaufman (1983);
   196 =  Mahmud et al. (1987);
   197 =  Westenberg and De Haas (1969);
   198 =  Grotheer and Just (1981);
   199 =  Gehring et al. (1969);
   200 =  Mayer and Schieler(1968);
   201 =  Bogan and Hand(1978);
   202 =  Miyoshi et al. (1993);
   203 =  Kato and Cvetanovic(1967);
   204 =  Wu et al. (2007);
   205 =  Takahashi et al. (2007);
   206 =  Patterson and Greene (1962);
   207 =  Meaburn and Gordon (1968);
   208 =  Pshezhetskii et al. (1959);
   209 =  Wilson (1972);
   210 =  Kruse and Roth (1999);
   211 =  Fontijn et al. (2001);
   212 =  Harding et al. (2008);
   213 =  Matsui and Nomaguchi (1978);
   214 =  Geiger et al. (1999);
   215 =  Bergeat et al. (1998);
   216 =  Jachimowski (1977);
   217 =  Lichtin et al. (1984);
   218 =  Bergeat et al. (2009);
   219 =  Tao et al. (2001);
   220 =  Blitz et al. (1997);
   221 =  Mulvihill and Phillips (1975);
   222 =  Rim and Hershberger (1999);
   223 =  Tzeng et al. (2009);
   224 =  Wang et al. (2002);
   225 =  Park and Hershberger (1993);
   226 =  Gannon et al. (2007);
   227 =  Sayah et al. (1988);
   228 =  Feng and Hershberger (2007);
   229 =  Pang et al. (2008);
   230 =  Sun et al. (2006);
   231 =  Sims et al. (1993);
   232 =  You et al. (2007);
   233 =  Tsuboi et al. (1981);
   234 =  Roose et al. (1978);
   235 =  Baldwin et al. (1961);
   236 =  Davidson et al. (1990);
   237 =  Quandt and Hershberger (1995);
   238 =  Xu and Sun(1998);
   239 =  Rohrig et al. (1994);
   240 =  Miller and Melius (1988);
   241 =  Campomanes et al. (2001);
   242 =  Gonzalez et al. (1992);
   243 =  Mebel et al. (1996);
   244 =  Srinivasan et al. (2007);
   245 =  Ju et al. (2007);
   246 =  Miller and Melius (1989);
   247 =  Breen and Glass (1971);
   248 =  Jasper et al. (2007);
   249 =  Humpfer et al. (1995);
   250 =  Xu and Lin (2007);
   251 =  Wooldridge et al. (1996);
   252 =  Corchado et al. (1995);
   253 =  Grussdorf et al. (1994);
   254 =  Faravelli et al. (2000);
   255 =  Vandooren and Van Tiggelen (1977);
   256 =  Bryukov et al. (2004);
   257 =  Espinosa-Garcia et al. (1993);
   258 =  Anglada(2004);
   259 =  Lamb et al. (1984);
   260 =  Liu et al. (2002);
   261 =  Li and Wang (2004);
   262 =  Srinivasan et al. (2007);
   263 =  Baldwin et al. (1984);
   264 =  Cohen(1991);
   265 =  Nielsen et al. (1991);
   266 =  Atkinson et al. (2001);
   267 =  Wu et al. (2003);
   268 =  Zabarnick and Heicklen (1985);
   269 =  Sanders et al. (1987);
   270 =  Thweatt et al. (2004);
   271 =  Dammeier et al. (2007);
   272 =  Lin et al. (1993);
   273 =  Miller and Glarborg (1999);
   274 =  Park and Lin(1997);
   275 =  Vandooren et al. (1994);
   276 =  Howard (1979);
   277 =  Opansky and Leone (1996a), Opansky and Leone (1996b)
   278 =  Benson (1994);
   279 =  Hennig and Wagner (1994);
   280 =  Tomeczek and Gradon (2003);
   281 =  Mebel and Lin (1997);
   282 =  Striebel et al. (2004);
   283 =  Laidler and Wojciechowski (1961);
   284 =  McKenney et al. (1963);
   285 =  Becker et al. (1992b);
   286 =  Williamson and Bayes (1967);
   287 =  Alvarez and Moore (1994);
   288 =  Dombrowsky and Wagner (1992);
   289 =  Nadtochenko et al. (1979);
   290 =  Zhu and Lin (2005);
   291 =  Schacke et al. (1974);
   292 =  Bozzelli and Dean (1989);
   293 =  Tang et al. (2008);
   294 =  Reitel'boim et al. (1978);
   295 =  Seery(1969);
   296 =  Michael et al. (1999);
   297 =  Marinov et al. (1998);
   298 =  Bogdanchikov et al. (2004);
   299 =  Shaw (1978);
   300 =  Neiman and Feklisov (1961);
   301 =  Bozzelli and Dean (1990);
