He = He
H + O2 + M = HO2 + M
H + OH + M = H2O + M
HO2 + HO2 + M = H2O2 + O2 + M
O + O + M = O2 + M
O + O2 + M = O3 + M
OH + OH + M = H2O2 + M
H + O + M = OHV + M
OH + O2 + M = HO3 + M
H^+ + H2 + M = H3^+ + M
H3^+ + O2 + M = H3O2^+ + M
He^+ + He + M = He2^+ + M
H^+ + e^- + M = H + HV
He^++ + e^- + M = He + HV
CO + O + CO2 = CO2 + CO2
O + O2 + CO2 = O3 + CO2
O + O + CO2 = O2 + CO2
O + O + CO2 = O2(1Delta) + CO2
H + O2 + CO2 = HO2 + CO2
OH + OH + CO2 = H2O2 + CO2
H + H + CO2 = H2 + CO2
HO2 + HO2 + CO2 = H2O2 + O2 + CO2
