Reaction                                          	Hu        	Agundez   	VULCAN    	stand     	velliet   	MOSES     
H^- + H = H2 + e^-                                	0000      	0000      	0000      	0125      	0000      	0000      
H^- + H2O = HO^- + H2                             	0000      	0000      	0000      	0126      	0000      	0000      
H^- + O2 = HO2 + e^-                              	0000      	0000      	0000      	0127      	0000      	0000      
HO^- + H = H2O + e^-                              	0000      	0000      	0000      	0128      	0000      	0000      
HO^- + O = HO2 + e^-                              	0000      	0000      	0000      	0129      	0000      	0000      
HO^- + O3 = O3^- + HO                             	0000      	0000      	0000      	0130      	0000      	0000      
O^- + H2 = H2O + e^-                              	0000      	0000      	0000      	0131      	0000      	0000      
O^- + H2 = HO^- + H                               	0000      	0000      	0000      	0132      	0000      	0000      
O^- + O = O2 + e^-                                	0000      	0000      	0000      	0133      	0000      	0000      
O^- + O2 = O2^- + O                               	0000      	0000      	0000      	0134      	0000      	0000      
O^- + O2(a1Deltag) = O3 + e^-                     	0000      	0000      	0000      	0135      	0000      	0000      
O^- + O3 = O2 + O2 + e^-                          	0000      	0000      	0000      	0136      	0000      	0000      
O^- + O3 = O3^- + O                               	0000      	0000      	0000      	0137      	0000      	0000      
O^- + O3 = O2^- + O2                              	0000      	0000      	0000      	0138      	0000      	0000      
O2^- + H = HO2 + e^-                              	0000      	0000      	0000      	0139      	0000      	0000      
O2^- + H = H^- + O2                               	0000      	0000      	0000      	0140      	0000      	0000      
O2^- + O = O3 + e^-                               	0000      	0000      	0000      	0141      	0000      	0000      
O2^- + O = O^- + O2                               	0000      	0000      	0000      	0142      	0000      	0000      
O2^- + O3 = O3^- + O2                             	0000      	0000      	0000      	0143      	0000      	0000      
O3^- + H = HO^- + O2                              	0000      	0000      	0000      	0144      	0000      	0000      
O3^- + O = O2^- + O2                              	0000      	0000      	0000      	0145      	0000      	0000      
H + HV = H^+ + e^-                                	0000      	0000      	0000      	0146      	0000      	0000      
He + HV = He^+ + e^-                              	0000      	0000      	0000      	0147      	0000      	0000      
O + HV = O^+ + e^-                                	0000      	0000      	0000      	0148      	0000      	0000      
O(1D) + HV = O^+ + e^-                            	0000      	0000      	0000      	0149      	0000      	0000      
O(1S) + HV = O^+ + e^-                            	0000      	0000      	0000      	0150      	0000      	0000      
H^- + HV = H^+ + e^- + e^-                        	0000      	0000      	0000      	0151      	0000      	0000      
H^- + HV = H + e^-                                	0000      	0000      	0000      	0152      	0000      	0000      
H2 + HV = H2^+ + e^-                              	0000      	0000      	0000      	0154      	0000      	0000      
H2 + HV = H^+ + H + e^-                           	0000      	0000      	0000      	0155      	0000      	0000      
O2 + HV = O^+ + O + e^-                           	0000      	0000      	0000      	0158      	0000      	0000      
O2 + HV = O(1S) + O(1S)                           	0000      	0000      	0000      	0159      	0000      	0000      
O2 + HV = O2^+ + e^-                              	0000      	0000      	0000      	0160      	0000      	0000      
HO + HV = O(1S) + H                               	0000      	0000      	0000      	0162      	0000      	0000      
HO + HV = HO^+ + e^-                              	0000      	0000      	0000      	0163      	0000      	0000      
HO + HV = O(1D) + H                               	0000      	0000      	0000      	0164      	0004      	0000      
H2O + HV = HO^+ + H + e^-                         	0000      	0000      	0000      	0168      	0000      	0000      
H2O + HV = O^+ + H2 + e^-                         	0000      	0000      	0000      	0169      	0000      	0000      
H2O + HV = H^+ + HO + e^-                         	0000      	0000      	0000      	0170      	0000      	0000      
H2O + HV = H2O^+ + e^-                            	0000      	0000      	0000      	0171      	0000      	0000      
O3 + HV = O2 + O(1S)                              	0000      	0000      	0000      	0174      	0000      	0000      
H2^+ + e^- = H + H                                	0000      	0000      	0000      	0176      	0000      	0000      
HeH^+ + e^- = H + He                              	0000      	0000      	0000      	0177      	0000      	0000      
O2^+ + e^- = O + O                                	0000      	0000      	0000      	0178      	0000      	0000      
HO^+ + e^- = O + H                                	0000      	0000      	0000      	0179      	0000      	0000      
H2O^+ + e^- = O + H2                              	0000      	0000      	0000      	0180      	0000      	0000      
H2O^+ + e^- = HO + H                              	0000      	0000      	0000      	0181      	0000      	0000      
H2O^+ + e^- = O + H + H                           	0000      	0000      	0000      	0182      	0000      	0000      
H3^+ + e^- = H + H + H                            	0000      	0000      	0000      	0183      	0000      	0000      
H3^+ + e^- = H2 + H                               	0000      	0000      	0000      	0184      	0000      	0000      
HO2^+ + e^- = O2 + H                              	0000      	0000      	0000      	0185      	0000      	0000      
H3O^+ + e^- = HO + H + H                          	0000      	0000      	0000      	0186      	0000      	0000      
H3O^+ + e^- = H2O + H                             	0000      	0000      	0000      	0187      	0000      	0000      
H3O^+ + e^- = HO + H2                             	0000      	0000      	0000      	0188      	0000      	0000      
H3O^+ + e^- = H2 + H + O                          	0000      	0000      	0000      	0189      	0000      	0000      
H^+ + e^- + M = H + HV                            	0000      	0000      	0000      	0190      	0000      	0000      
He^++ + e^- + M = He + HV                         	0000      	0000      	0000      	0191      	0000      	0000      
O2 + HV = O1D + O1D                               	0000      	0000      	0000      	0000      	0010      	0000      
H + O + M = OHV + M                               	0000      	0000      	0000      	0000      	0018      	0000      
H2O2 + M = OH + OH + M                            	0000      	0000      	0000      	0000      	0019      	0035      
H2 + M = H + H + M                                	0000      	0000      	0000      	0000      	0020      	0009      
OHV = OH                                          	0000      	0000      	0000      	0000      	0021      	0000      
O1D = O                                           	0000      	0000      	0000      	0000      	0022      	0000      
OHV + H2O = OH + H2O                              	0000      	0000      	0000      	0000      	0028      	0000      
OHV + H2 = OH + H2                                	0000      	0000      	0000      	0000      	0029      	0000      
OHV + OH = OH + OH                                	0000      	0000      	0000      	0000      	0030      	0000      
OHV + H = OH + H                                  	0000      	0000      	0000      	0000      	0031      	0000      
OHV + O2 = OH + O2                                	0000      	0000      	0000      	0000      	0032      	0000      
OH + M = O + H + M                                	0000      	0000      	0000      	0000      	0000      	0011      
O2 + M = O + O + M                                	0000      	0000      	0000      	0000      	0000      	0015      
O2 + OH = O + HO2                                 	0000      	0000      	0000      	0000      	0000      	0019      
OH + HO2 = O + H2O2                               	0000      	0000      	0000      	0000      	0000      	0021      
H + OH = O(1D) + H2                               	0000      	0000      	0000      	0000      	0000      	0023      
OH + OH = O(1D) + H2O                             	0000      	0000      	0000      	0000      	0000      	0025      
HO2 + M = O2 + H + M                              	0000      	0000      	0000      	0000      	0000      	0027      
H2O + M = OH + H + M                              	0000      	0000      	0000      	0000      	0000      	0029      
O2 + H2O = OH + HO2                               	0000      	0000      	0000      	0000      	0000      	0037      
H2O + HO2 = OH + H2O2                             	0000      	0000      	0000      	0000      	0000      	0039      
O + H2O = HO2 + H                                 	0000      	0000      	0000      	0000      	0000      	0041      
OH + OH = HO2 + H                                 	0000      	0000      	0000      	0000      	0000      	0043      
H2 + O2 = HO2 + H                                 	0000      	0000      	0000      	0000      	0000      	0045      
OH + H2O = H2O2 + H                               	0000      	0000      	0000      	0000      	0000      	0051      
H2 = H2                                           	0000      	0000      	0000      	0000      	0000      	0052      
H2O = H2O                                         	0000      	0000      	0000      	0000      	0000      	0053      


# "+ T" :: used to represent the thermal decomposition, only non-zero row in Hu column
# HV    :: h\nu, Photolysis reactions. Sometimes the Photolysis reactions are present even without HV.
# 		:: keeping in accordance with the authors.
